CH_1,CH_2
Ms. Stevens,Ross
Althea's husband,Eric
Dr. Baldharan,Marcel
Carlos,Tony
Janine Lecroix,Dan
Nurse,Estelle Leonard
Precious,Rachel
Julio (poet),Carlos
Nancy,Kim
Christmas tree customer,Joey
Robert,Bob
Frances,Lily Buffay
Jasmine,Chloe
Aunt Lillian,Don
Barbara Burke,Monica
Aunt Cheryl,Erica
Wayne,Ross
Mr. Heckles,Mike Hannigan
Melanie,Joey
Sid Goralnik,Chandler
Frank Jr. Jr.,Leslie Buffay
Stu,Joey
Carlos,Monica
Barbara Burke,Richard Burke
Ashley Tribbiani,Gloria Tribbiani
Ugly Naked Guy,Phoebe
Nonnie,Rachel
Dana Keystone,Monica
Mrs. Braverman,Monica
Erica Bing,Judy Geller
Erin,Joey
Molly,Tabitha
Rick (Aurora's husband),Andrew
Sarah Tuttle,Stu
Lily Buffay,Phoebe Abbott
Sandy,Joey
Stephen Waltham,Ross
Aunt Lillian,Ben Geller
Hootie and the Blowfish,Chandler
Felicity,Joey
Terry (casting director),Joey
Gunther,Jasmine
Mrs. Stevens,Ross
Ugly Naked Guy,Joey
Ursula Buffay,Leslie
Bitsy Hannigan,Mike Hannigan's brother
Duncan,Phoebe
Amy Greene,Emma Geller-Greene
Jack Geller,Rachel
Dina,Joey
Aunt Millie,Monica
Ross Zelner,Ralph Lauren
Annabel,Joey
Larry,Phoebe
Uncle Murray,Eric
Tim (Season 3),Bill
Kyle,David
Paolo,Monica
Gavin Mitchell,Mr. Zelner
Rick Sanoven,Monica
Barbara Burke,Tim
Althea's husband,Aunt Lillian
Eddie Menuek,Michael
Young Ethan,Aurora
Bill,Ross
Ross Zelner,Ross
Richard Burke,Monica
Mrs. Stevens,Paul Stevens
Aunt Lillian,Judy Geller
Jamie,Ben Geller
"David ""Tank"" Abbott",David
Mozzarella,Rachel
Doug,Chandler
Aunt Lisa,Jack Geller
Sandra Greene's father,Nick
Mike Hannigan,Silvia
Mr. Burgin,Josh
Mary-Angela,Chandler
Tag Jones,Mr. Zelner
Janice Litman-Goralnik,Ross
Hillary,Ross
Aunt Sylvia,Erica
Joshua Burgin,Don
Nurse,Joey
Michelle,Eric
Carl (Rachel's date),Ross
Janine Lecroix,Kate Miller
Mary-Therese Tribbiani,Walter
Isabella Rossellini,Alice Knight
Janice Litman-Goralnik,Phoebe
Sonya,Monica
Leslie Buffay,Lily Buffay
Mrs. Robinson,Robinson Twins
Chloe,Rachel
The Judge,Ross
Susie Moss,Robert
Mr. Burgin,Rachel
Marc Coreger,Mark Robinson
Emily Waltham,Janice Litman-Goralnik
Gloria Tribbiani,Mary-Angela
Molly,Emma Geller-Greene
Elizabeth Hornswoggle,Peter
Bobby Rush,Barry Farber
Parker,Monica
Sandra Greene's father,Leonard Greene
Richard Burke,Tim
Lowell (mugger),Ross
Franny,Monica
Russ,Tom
Steve (drug addict),Sandra Greene
Gunther,Chandler
Laura,Joey
Tribbiani Sisters,Michael
Isabella Rossellini,Monica
Steve (Chandler's boss),Ben Geller
Mary-Therese Tribbiani,Michael
Mike Hannigan,Mrs. Buffay (Frank Sr.'s second wife)
Charles Bing,Eric
Christmas tree customer,Rachel
"Roy ""Goodbody""",Rachel
Randall,Joey
Melanie,Rachel
Colleen,Owen
Unnamed Season 7 Characters,Terry
Tomas,Phoebe
Mitzi,Nurse Sizemore
Ben Geller,Emily Waltham
Marshall Townend,Marsha
Lowell (mugger),Kyle
Maria,Ross
Julie,Monica
Erin,Rachel
Michelle,Chandler
Marie,Allesandro
Leonard Greene,Ross
Mr. Douglas,Doug
Caroline Duffy,Ross
Mrs. Buffay (Frank Sr.'s second wife),Chandler
Richard Burke,Judy Geller
Buddy Doyle,Dan
Ursula Buffay,Ross
Emily Waltham's second husband,Ross
Cecilia Monroe,Monica
Emily Waltham's second husband,Mr. Waltham
Frank Buffay Jr.,Leslie
Malcolm,David
Maureen,Ross
Max,Wayne
Aurora,Chandler
Ida Greene,Sandra Greene
Tomas,Joey
Nonna,Joey
Felicity,Rachel
The Kids,Carol Willick
Aunt Lisa,Emma Geller-Greene
Ryan,Earl
Aunt Phylis,Monica
Cousin Frannie,Carol Willick
Bitsy Hannigan,Theodore Hannigan
Dina,Rachel
Sandy,Emma Geller-Greene
Dr. Baldharan,Ross
Aunt Marilyn,Chandler
Howard,Joey
Charles Bing,Chandler
Anita Altman,Monica
Ryan,Ben Geller
Nora Tyler Bing,Eric
Julie Coreger,Ross
Huggsy,Emma Geller-Greene
Unnamed Season 7 Characters,Kim
Paul Stevens,Phoebe
Jessica Lockhart,Monica
Unnamed Season 7 Characters,Sarah
Alan Lewis,Ross
Sid Goralnik,Ross
Carl (bully),Dan
Aunt Iris,Phoebe
Chip Matthews,Nancy
Dean Lipson,Marcel
Precious,Monica
Nancy,Lauren
Stuart,Erica
Parker,Judy Geller
Arthur,Chandler
Russell,Ross
Tina,Dina
Sergei,Ross
Erica,Erica Bing
Russ,David
Dr. Baldharan,Fake Monica
Aurora,Rick
Paul Stevens,Joey
Amy Welsh,Chip Matthews
Alan Lewis,Kyle
Alice Knight,Frank Buffay Jr.
Hootie and the Blowfish,Ross
Aunt Millie,Eric
Nonnie,Monica
Emily Waltham,Kip
Kip,Joey
Aunt Iris,Joey
The Kids,Ross
Dr. Robert Bobby,Bob
Cassie,Erica
Cousin Frannie,Ross
Ross Zelner,Rachel
Chloe,Isaac
Elizabeth Stevens,Mrs. Stevens
Gary,Chandler
Althea,Eric
Rob Donnen,Phoebe
Aunt Cheryl,Rachel
Carol Willick,Ross
Fun Bobby,Russ
Nora Tyler Bing,Chandler
The Kids,Phoebe
Andrea Waltham,Mr. Waltham
Uncle Dan,Dan
Terry,Max
Joanna,Rachel
Katie (saleswoman),Ross
Andrea Waltham,Emily Waltham
Buddy Doyle,Rachel
Unnamed Season 7 Characters,Wayne
Emily Waltham,Phoebe
Unnamed Season 7 Characters,Michael
Janice Litman-Goralnik,Rachel
Amanda Buffamonteezi,Phoebe
Jack Geller,Monica
Michael,Rachel
Unnamed Season 7 Characters,Peter
Mark Robinson,Chloe
Earl,Lily Buffay
Doug,Ross
Jack Geller,Richard Burke
Chandler Buffay,Frank Buffay Jr.
Joshua Burgin's ex-wife,Joshua Burgin's nephew
Gary Litman,Chandler
Andrew,Chandler
David,Max
Grandma Geller,Eric
Mona,Chandler
Sandra Greene's father,Jill Greene
Alan Lewis,Alan
Mrs. Stevens,Stevens siblings' father
Frank Buffay Jr.,Ross
Mike Hannigan,Mike Hannigan's ex-wife
Roy Gublik,Michael
Mrs Adelman,Susan Bunch
Amanda (Ross' date),Chandler
Andrea Waltham,Emily Waltham's cousin
Emily Waltham,Joey
Mrs. Buffay (Frank Sr.'s second wife),Ursula Buffay
Mike Hannigan,Gunther
Amanda Buffamonteezi,Joey
Alice Knight,Phoebe
Althea's husband,Aunt Phylis
Mr. Treeger,Phoebe
Hootie and the Blowfish,Steven Fisher
Shovelly Joe,Monica
Elizabeth Stevens,Leonard Greene
Danielle,Dan
Ben Geller,Emma Geller-Greene
Mike Hannigan,Eric
Tomas,Rachel
Althea,Chandler
Janine Lecroix,Monica
Nonna,Cookie
Luisa Gianetti,Mr. Heckles
Phoebe Abbott,Ursula Buffay
Sarah,Sarah Tuttle
Mary-Therese Tribbiani,Chandler
Althea,Althea's husband
Aunt Lillian,Erica
Tina,Michael
Althea,Aunt Lillian
Althea's husband,Jack Geller
Ralph Lauren,Ross
Emily Waltham's second husband,Stephen Waltham
Frances,Albert
Charlton Heston,Marie
Dennis Phillips,Monica
Barry Farber,Joey
Cassie,Phoebe
Mr. Treeger,Joey
Uncle Sal,Tribbiani Sisters
Alan,Ross
Gunther,Emily Waltham
Mary-Therese Tribbiani,Joey Tribbiani Sr.
Dina,Tribbiani Sisters
Cousin Frannie,Aunt Cheryl
Delia,Rachel
Mike Hannigan,Mike Hannigan's sister
Sandra Greene,Chloe
Mark Robinson,Mrs. Robinson
Andrew,Rick
Mona,Elizabeth Stevens
Ben Geller,Erica Bing
Chandler Buffay,Phoebe
Grandma Geller,Chandler
Erica Bing,Phoebe
Sarah,Monica
Chappy,Mike Hannigan
Ursula Buffay,Cookie
Lydia,Joey
Nick,Rachel
Rick (Aurora's husband),Aurora
Charla Nichols,Ross
Gunther,Dave
"Roy ""Goodbody""",Danny
Uncle Dan,Rachel
Bonnie,Chandler
Melanie,Monica
Tim,Timmy
Paul Stevens,Rachel
Steve (drug addict),Jack Geller
Kathy,Nick
Mike Hannigan,Chandler
Timmy,Tom
Mr. Heckles,Marcel
Kip,Rachel
Angela Delveccio,Kim
Aunt Iris,Rachel
Fun Bobby,Fun Bobby's grandfather
Jean-Claude Van Damme,Ross
Erica Bing,Joey
Ben Geller,Russ
Nonna,Mary-Therese Tribbiani
Tim,Phoebe
Emma Geller-Greene,Eric
Kash Ford,Ross
Duncan,Silvia
George Stephanopoulos,Phoebe
Joey Tribbiani Sr.,Robert
Aunt Marilyn,Ross
Eddie Menuek,Tilly
Don,Chandler
Alice Knight,Frank Buffay Sr.
Tim (Season 3),Tomas
Timothy Burke,Chandler
Andrea Waltham,Emily Waltham's second husband
Frank Buffay Jr.,Frank Buffay Sr.
Laura,Stu
Dr. Gettleman,Dr. Gettleman's daughter
Uncle Freddie,Monica
Dina,Monica
Nurse Sizemore,Joey
Dean Lipson,Ross
Unidentified Phoebe Buffay fan,Phoebe
Nasforatool,Doug
Chick Jr. & Duck Jr.,Phoebe
Russ,Lauren
Owen,Ross
Arthur,Ross
Cousin Frannie,Stuart
Gavin Mitchell,Emma Geller-Greene
Gina Tribbiani,Tribbiani Sisters
Mr. Wheeler,Ross
The Kids,Rachel
David,Phoebe
Joey Tribbiani Sr.,Jen
Sandra Greene,Sandra Greene's father
Paul Stevens,Stevens siblings' father
Emily Waltham,Rachel
Nancy,Ralph Lauren
Erica Bing,Jack Geller
Cheryl,Mitzi
Dina,Mary
Erica Bing,Nora Tyler Bing
Unidentified Phoebe Buffay fan,Joey
Mr. Bunch,Mrs. Bunch
Anita Altman,Chandler
Chick Jr. & Duck Jr.,Joey
Chandler Buffay,Frank Buffay Sr.
Josh,Joey
Rick,Phoebe
Katie (saleswoman),Rachel
Emma Geller-Greene,Chandler
Michelle Burke,Monica
Dr. Harad,Phoebe
David,Joey
Nora Tyler Bing,Ross
Mrs. Burgin,Josh
Unnamed Season 7 Characters,Chandler
Michelle Burke,Richard Burke
Cookie,Phoebe
Joshua Burgin's ex-wife,Josh
Althea's husband,Erica Bing
Judy Geller,Ross
Dr. Gettleman's daughter,Ross
Duncan,Mary
Frank Buffay Jr.,Phoebe Abbott
Stuart,Rachel
The Tanning Salon Guy,Ross
Alice Knight,Rachel
Barry Farber,Rachel
Bitsy Hannigan,Phoebe
Carlos,Emilio
Aunt Lisa,Ben Geller
Kiki,George Stephanopoulos
Timothy Burke,Michelle
David,Dr. Baldharan
Dina,Nonnie
Frank Buffay Jr.,Rachel
Mrs. Braverman,Joey
Frances,Ross
Judy Geller,Phoebe
Paolo,Julie
Roy,Joey
Sidney Marks,Joey
Gary Litman,Ross
Charlie Wheeler,Kathy
Janice Litman-Goralnik,Aaron Goralnik
Julio (cat),Phoebe
Frank Jr. Jr.,Phoebe
Joey Tribbiani Sr.,Cookie
Katie,Joey
Laura,Monica
Schnoodle,Russ
Steve (drug addict),Mark Robinson
Marcel,Ross
Buddy Doyle,Monica
Cookie,Joey
Janice Litman-Goralnik,Monica
Michael,Monica
Stephen Waltham,Ben Geller
Richard Darnville,Paul Stevens
Kyle,Phoebe
Amanda (Ross' date),Ross
Susan Bunch,Ross
Bob (rat),Mike Hannigan
Brown Bird Troop Leader,Sarah
Mona,Emily Waltham
Richard Burke,Phoebe
Amy Greene,Jill Greene
Cassie,Rachel
Nurse Sizemore,Nurse
Carl (Rachel's date),Monica
Dean Lipson,The Zoo Employee
Marcel,Phoebe
Tina,Chandler
Mike Hannigan,Ursula Buffay
Tony (Allesandro's employee),Tony
Susan Bunch,Phoebe
Mr. Bunch,Susan Bunch
Chandler Buffay,Rachel
Julio (cat),Joey
Frank Jr. Jr.,Joey
Melissa Warburton,Phoebe
Steve Cera,Joey
Uncle Murray,Erica Bing
Marsha,Ross
Frank Buffay Sr.,Duncan
Joshua Burgin,Joey
Dave,Rachel
Richard Burke,Joey
Muriel,Emma Geller-Greene
Paolo's cat,Ross
Tony (Allesandro's employee),Monica
Robinson Twins,Rachel
Jasmine,Mr. Treeger
Tomas,Monica
Emilio,Marie
Nurse,Lydia
Arthur,Carl (bully)
Joanne,George Stephanopoulos
Albert,Chandler
Melissa Warburton,Joey
Grandma Geller,Ross
Erika Ford,Joey
Parker,Phoebe
Frank Jr. Jr.,Dan
Tim,Rachel
Nancy,Nancy (realtor)
George Stephanopoulos,Rachel
Stephanie,Terry
Mr. Waltham,Joey
The Triplets,Frank Jr. Jr.
Sonya,Joey
Althea,Aunt Phylis
Aunt Sylvia,Monica
Bonnie,Ross
Krista,Chandler
Joey Tribbiani Sr.,Mary-Angela
Ben Geller,Don
Nonna,Mary
Ryan,Phoebe
Sarah Tuttle,Joey
Cousin Frannie,Stu
Ben Geller,Michael
Kash Ford,Rachel
Ursula Buffay,Monica
Aunt Sylvia,Richard Burke
Colin,Ross
Pete Becker,Chandler
Phoebe's stepfather,Frank Buffay Sr.
Jeanine,Julio (poet)
Aunt Iris,Tony
Josh,Rachel
Colin,Emily Waltham
Emma Geller-Greene,Carol Willick
Marcel,The Zoo Employee
Nonnie,Caitlin
Uncle Dan,Monica
Janice Litman-Goralnik,Judy Geller
Nina Bookbinder,Doug
Estelle Leonard,Russ
Tomas,Tim
Kate Miller,Jen
Paul Stevens,Monica
Frances,Frank Buffay Sr.
David,Rachel
Bob (Chandler's coworker),Rachel
Aunt Iris,Monica
Leslie Buffay,Phoebe
Nonna,Nonnie
Carl (Rachel's date),Tommy
Nancy (Bloomingdale's Employee),Nancy
Jill Greene,Leonard Greene
Stuart,Stu
The Chick and The Duck,Kathy
Malcolm,Phoebe
Mr. Adelman,Mrs Adelman
Amy Greene,Erin
"Roy ""Goodbody""",Roy
"Todd, the Hombre Man",Joey
Emily Waltham's cousin,Ross
Charlie Wheeler,Mona
Dr. Harad,The Triplets
The Triplets,Frank Buffay Jr.
Tommy,Ross
Delia,Sandy
Caroline Duffy,Ben Geller
Chip Matthews,Ross
Katie,Rachel
Mark Robinson,Nancy
Cecilia Monroe,Joey
Grandma Geller,Dan
Dr. Oberman,Phoebe
Leslie Buffay,Joey
Steve Cera,Howard
Fun Bobby,Chandler
Charlie Wheeler,Albert
Nancy (realtor),Chandler
Tommy,Phoebe
Mischa,Ross
Angela Delveccio,Chandler
Parker,Jack Geller
Sarah,Max
Sally,Ross
Fun Bobby,Bob
Lauren,Joey
Danny,Chandler
Judy Geller,Rachel
The Kids,Monica
Emma Geller-Greene,Ross
Richard Darnville,Rachel
Dr. Gettleman's daughter,Rachel
Ugly Naked Guy,Chandler
Judy Geller,Cookie
Cousin Frannie,Monica
Mr. Heckles,Eric (photographer)
Nora Tyler Bing,Dennis Phillips
Russ,Ross
Frances,Phoebe Abbott
Uncle Sal,Chandler
Unnamed Season 7 Characters,Jason
Frank Jr. Jr.,Rachel
Unnamed Season 7 Characters,Ross
Emily Waltham,Monica
Amanda Buffamonteezi,Monica
The Doctor,Eric
Aunt Sylvia,Judy Geller
Mona,Emma Geller-Greene
Carol Willick,Monica
Aunt Cheryl,Eric
Joshua Burgin,Rachel
Aunt Millie,Emma Geller-Greene
Steve (Chandler's boss),Rachel
Dina,Bob
Uncle Sal,Joey Tribbiani Sr.
Sandra Greene's father,Rachel
Maureen,Judy Geller
Amanda (Monica And Chandler's wedding),Chandler
Marcel,Rachel
Nurse,Susan Bunch
Susan Bunch,Rachel
Tilly,Mary
Melissa Warburton,Rachel
Mr. Zelner,Rachel
The Triplets,Phoebe
Bobby Corso,Joey
Gavin,Rachel
Lily Buffay,Phoebe
Jack Geller,Uncle Freddie
Stuart,Monica
Barry Farber,Monica
Cailin,Laura
Ned Morse,Ross
Franny,Paul the Wine Guy
Will Colbert,Rachel
Amy Greene,Ross
Frank Buffay Jr.,Monica
Mr. Waltham,Rachel
Mrs. Buffay (Frank Sr.'s second wife),Lily Buffay
Elizabeth Stevens,Paul Stevens
Colleen,Chandler
Aunt Millie,Erica Bing
Mrs. K.,Sandra Greene
"Roy ""Goodbody""",Roy Gublik
Chip Matthews,Dan
Sarah Tuttle,Rachel
Carl (bully),Gunther
Kara,Ross
Paolo's cat,Rachel
The Chick and The Duck,Chandler
Dr. Ledbetter,Monica
Althea's husband,Ben Geller
Brenda,Monica
Gloria Tribbiani,Joey
Mr. Burgin,Mrs. Burgin
Elizabeth Stevens,Joey
Caitlin,Chandler
The Doctor,Chandler
Cassie,Monica
Althea,Erica Bing
Charlie Wheeler,Ursula Buffay
Aunt Cheryl,Chandler
Male Guest,Bob
Leslie (casting director),Ross
Devon,Ross
Isabella Rossellini,Gary
Charla Nichols,Sarah Tuttle
Ryan,Rachel
Gina Tribbiani,Chandler
Alan,Monica
The Thief,Joey
Unnamed Season 1 Characters,Fake Monica
Donny Osmond,Don
Young Ethan,Stu
Dan,Chandler
Cousin Frannie,Judy Geller
Marc Coreger,Ross
Unnamed Season 7 Characters,Robert
Rick (Aurora's husband),Ethan
Theodore Hannigan,Ross
Emily Waltham,Judy Geller
Gina Tribbiani,Joey Tribbiani Sr.
Carol Willick,Judy Geller
Grandma Geller,Erica Bing
Minnie,Susan Bunch
Gunther,Michael
Mr. Heckles,Rachel
The Dry Cleaner's Wife,Joey
Nonna,Tina
Jasmine,Ross
Dick Clark,Monica
Dr. Schiff,Ross
Molly,Ross
Jack Geller,Aunt Phylis
Michelle Burke,Michelle
Leslie Buffay,Rachel
Emily Waltham's cousin,Stephen Waltham
Tribbiani Sisters,Mary-Therese Tribbiani
Steven Fisher,Rachel
Stu,The Waiter
Joey Tribbiani Sr.,Nonnie
Ginger,Phoebe
Peter,Chandler
Dr. Roger,Joey
Earl,Phoebe
Tim,Monica
George Stephanopoulos,Monica
Mary-Therese Tribbiani,Mary-Angela
Rhonda,Ross
Charlie Wheeler,Ross
Doug,Kara
Chloe,Joey
Aunt Lisa,Uncle Dan
Frank Buffay Sr.,Mike Hannigan
Kathy,Phoebe
Charlie Wheeler,Emily Waltham
Aunt Lillian,Monica
Eric (photographer),Joey
Mona,Mona's boyfriend
Nurse Sizemore,Mary
Chick Jr. & Duck Jr.,Monica
Tommy,Rachel
Ginger,Joey
Nervous male passenger,Ross
Chip Matthews,Rachel
Richard Burke,Tom
Sarah,Joey
Carlos,Tony (Allesandro's employee)
Jarvis Oberblau,Nancy Oberblau
Mark Robinson,Nancy (Bloomingdale's Employee)
David,Monica
Cassie,Judy Geller
Luisa Gianetti,Marcel
Kristen Leigh,Ross
Owen,Monica
Amy Greene,Jen
Joshua Burgin's nephew,Rachel
Nervous male passenger,Phoebe
Uncle Sal,Gloria Tribbiani
Louis Posen,Chandler
Kathy,Joey
Young Ethan,Monica
Mary Ellen Jenkins,Mike Hannigan
Aunt Lisa,Ross
Arthur,Nick
Gavin Mitchell,Lauren
Mozzarella,Wendy
Ms. Stevens,Paul Stevens
Mark Robinson,Chandler
Sandra Greene,Ugly Naked Guy
The next next Martin Scorsese,Ross
Mona,Allesandro
Charles Bing,Earl
Mrs Burkart,Phoebe
The Triplets,Chandler Buffay
Mr. Simon,Phoebe
Mary,Mike Hannigan
Sarah,Molly
Silvia,Phoebe
Julie,Russ
Danny,Ross
Huggsy,Ross
Kip,Chandler
